"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2022","29.43","29.83","29.95","29.24","1.69M","-1.27%"
"06/23/2022","29.81","29.97","30.19","29.64","1.56M","0.00%"
"06/22/2022","29.81","30.12","30.99","29.81","2.94M","-0.63%"
"06/21/2022","30.00","29.93","30.48","29.85","2.87M","-1.25%"
"06/20/2022","30.38","29.61","30.71","29.61","3.98M","3.23%"
"06/17/2022","29.43","29.24","29.74","29.13","1.83M","0.91%"
"06/16/2022","29.17","29.53","29.74","28.66","2.35M","-1.09%"
"06/15/2022","29.49","29.40","29.83","29.15","1.93M","0.32%"
"06/14/2022","29.40","29.26","29.62","28.49","3.13M","0.85%"
"06/13/2022","29.15","30.40","30.42","28.88","3.07M","-4.12%"
"06/10/2022","30.40","31.71","31.92","30.40","4.80M","-4.13%"
"06/09/2022","31.71","32.49","33.82","31.71","10.90M","1.21%"
"06/08/2022","31.33","31.68","32.25","30.19","5.24M","-0.72%"
"06/07/2022","31.56","31.47","31.83","30.90","3.78M","0.36%"
"06/06/2022","31.45","30.00","32.09","29.97","6.83M","6.02%"
"06/03/2022","29.66","28.01","30.02","28.01","6.17M","5.26%"
"06/02/2022","28.18","28.26","28.49","27.82","1.82M","-0.47%"
"06/01/2022","28.31","27.93","28.43","27.90","2.22M","1.43%"
"05/31/2022","27.92","28.68","28.68","27.71","1.46M","-2.00%"
"05/30/2022","28.49","27.97","28.71","27.76","1.81M","2.11%"
"05/27/2022","27.90","28.49","28.49","27.63","1.70M","-1.80%"
"05/26/2022","28.41","28.88","28.94","28.39","1.97M","-0.40%"
"05/25/2022","28.52","28.69","28.83","28.30","1.79M","-0.33%"
"05/24/2022","28.62","28.79","29.07","28.37","2.22M","-0.20%"
"05/23/2022","28.68","28.79","28.92","27.50","3.06M","0.07%"
"05/20/2022","28.66","28.68","28.94","28.30","2.65M","-0.33%"
"05/18/2022","28.75","29.30","29.51","28.68","1.54M","-2.01%"
"05/17/2022","29.34","28.87","29.38","28.39","2.94M","1.64%"
"05/16/2022","28.87","29.04","29.40","28.85","1.98M","-0.52%"
"05/13/2022","29.02","29.26","29.49","28.96","1.72M","0.33%"
"05/12/2022","28.92","29.15","29.49","28.62","3.25M","-2.06%"
"05/11/2022","29.53","30.94","30.95","29.24","4.41M","-4.01%"
"05/10/2022","30.76","29.49","30.80","29.30","5.08M","4.38%"
"05/09/2022","29.47","29.24","29.68","28.85","2.50M","0.78%"
"05/06/2022","29.24","29.06","29.34","28.68","3.40M","2.19%"
"05/05/2022","28.62","29.00","29.43","28.62","3.68M","-2.14%"
"04/29/2022","29.24","30.48","30.48","29.19","3.33M","-4.05%"
"04/28/2022","30.48","30.31","30.76","29.91","5.01M","0.94%"
"04/27/2022","30.19","30.42","30.95","29.57","5.37M","-0.06%"
"04/26/2022","30.21","30.00","30.92","29.07","31.74M","2.05%"
"04/25/2022","29.61","29.00","29.62","28.30","6.32M","3.93%"
"04/22/2022","28.49","29.02","29.28","27.84","3.76M","-1.83%"
"04/21/2022","29.02","28.41","29.38","28.01","6.86M","3.24%"
"04/20/2022","28.11","28.33","29.21","28.11","7.55M","0.14%"
"04/19/2022","28.07","26.93","28.49","26.78","13.56M","5.35%"
"04/18/2022","26.64","26.24","26.85","26.15","2.73M","1.59%"
"04/15/2022","26.23","26.34","26.55","26.09","2.14M","-0.43%"
"04/14/2022","26.34","25.85","26.59","25.83","4.12M","2.21%"
"04/13/2022","25.77","25.52","26.05","25.12","3.78M","1.04%"
"04/12/2022","25.50","26.05","26.17","25.43","3.08M","-1.83%"
"04/11/2022","25.98","26.53","26.97","25.98","3.10M","-1.51%"
"04/08/2022","26.38","26.11","27.54","25.83","4.30M","1.31%"
"04/07/2022","26.04","24.92","26.11","24.69","4.69M","4.58%"
"04/06/2022","24.90","25.75","25.75","24.69","3.42M","-2.89%"
"04/05/2022","25.64","25.83","26.21","25.26","3.43M","-0.44%"
"04/04/2022","25.75","26.47","26.57","25.73","2.27M","-2.09%"
"04/01/2022","26.30","26.05","26.97","25.92","2.88M","1.09%"
